x0,y0,z0
27,44,1021
27,46,1020
28,45,1020
28,45,1021
28,46,1020
29,45,1021
28,44,1021
27,44,1021
28,45,1020
29,44,1020
27,44,1023
27,45,1021
27,45,1020
28,44,1020
28,44,1020
27,43,1021
28,42,1020
29,43,1022
28,44,1020
27,45,1021
29,45,1021
27,45,1022
28,46,1020
30,45,1020
28,43,1021
28,44,1020
29,44,1022
27,43,1021
28,45,1021
28,44,1020
28,45,1020
29,46,1021
28,45,1020
27,44,1020
28,43,1021
27,45,1021
27,45,1021
28,44,1021
28,44,1021
28,44,1022
28,43,1020
28,44,1021
27,44,1022
27,44,1022
27,45,1021
28,45,1022
27,45,1021
28,44,1021
28,43,1021
29,45,1021
28,43,1022
30,46,1021
28,44,1021
29,46,1022
28,45,1023
28,43,1020
27,44,1021
29,45,1021
27,45,1020
27,44,1020
28,44,1020
29,46,1024
28,43,1021
28,45,1022
28,42,1021
31,44,1020
26,43,1022
26,45,1023
30,47,1021
28,48,1019
26,47,1021
29,46,1022
31,44,1020
27,43,1020
27,45,1021
29,45,1020
29,46,1019
27,47,1020
27,46,1020
29,45,1021
29,47,1021
29,45,1020
28,45,1021
27,46,1021
29,45,1021
29,46,1022
27,46,1023
28,45,1021
29,45,1019
30,45,1021
28,45,1021
30,46,1021
28,45,1019
28,45,1020
26,42,1017
31,47,1024
31,45,1021
29,44,1020
29,43,1022
29,44,1021
29,45,1019
28,45,1020
28,46,1021
28,45,1021
29,44,1020
27,44,1018
29,45,1020
28,43,1020
27,43,1022
28,43,1021
29,45,1020
28,45,1020
28,46,1020
27,46,1021
29,45,1021
27,44,1020
28,43,1021
28,42,1020
28,43,1022
28,43,1022
27,45,1020
28,46,1020
27,46,1023
29,45,1020
27,45,1020
28,43,1021
28,43,1022
27,44,1021
28,45,1021
27,44,1020
27,44,1021
27,43,1019
29,44,1021
28,44,1022
27,44,1020
28,44,1022
28,43,1021
28,44,1020
27,44,1021
28,44,1022
28,43,1021
27,43,1020
27,43,1020
28,43,1021
27,43,1020
27,43,1021
27,45,1021
27,44,1021
28,45,1021
27,44,1020
27,44,1022
27,43,1021
27,43,1022
28,44,1020
27,43,1020
27,43,1020
27,46,1021
27,45,1024
28,44,1021
28,43,1019
29,43,1022
28,44,1022
28,43,1020
28,42,1022
28,42,1021
29,44,1020
28,44,1021
27,45,1022
28,44,1021
28,45,1021
28,44,1021
27,43,1019
28,43,1020
28,44,1020
27,42,1020
27,43,1022
27,51,1027
-26,38,1021
67,65,1037
41,82,1060
27,43,1040
29,37,1046
27,85,1101
38,-3,1049
76,-99,1013
22,-164,969
-71,-106,969
6,-112,998
-28,-105,986
12,-279,956
44,-367,937
97,-275,974
103,-218,1011
12,-311,964
52,-307,938
30,-378,909
22,-404,897
16,-409,906
10,-394,895
8,-468,853
79,-545,795
42,-540,824
30,-569,812
51,-625,731
58,-741,632
-56,-740,628
4,-661,697
34,-676,683
20,-721,621
28,-741,595
27,-734,595
28,-761,547
27,-791,497
91,-772,476
51,-818,375
13,-889,220
-24,-884,76
47,-911,156
5,-1045,318
61,-928,192
31,-943,-77
6,-947,-35
81,-951,-25
-25,-966,-54
3,-942,-52
33,-949,-117
6,-939,-136
21,-939,-4
26,-949,24
29,-944,35
38,-946,61
36,-950,20
21,-941,-18
26,-944,-28
41,-944,-29
22,-948,-31
-22,-959,-82
18,-877,-6
255,-801,47
14,-858,371
12,-869,203
14,-902,170
35,-959,74
1,-928,144
60,-942,81
81,-963,27
73,-962,95
46,-963,-10
45,-955,70
51,-954,103
49,-927,63
37,-930,87
58,-922,167
41,-951,110
41,-937,77
28,-935,40
48,-940,112
47,-952,54
41,-940,103
57,-952,51
50,-950,67
38,-933,93
46,-941,81
42,-944,76
64,-945,66
42,-943,73
49,-938,83
52,-942,72
54,-951,57
47,-943,67
52,-946,62
44,-942,74
33,-945,52
58,-946,64
57,-943,72
59,-946,81
52,-943,41
54,-950,84
48,-941,75
50,-939,46
45,-941,82
53,-947,73
48,-946,85
50,-945,72
41,-936,85
46,-943,78
47,-944,76
49,-945,79
50,-945,75
48,-944,78
44,-944,81
42,-942,83
42,-940,88
39,-935,95
45,-943,88
44,-946,84
42,-942,89
46,-945,87
42,-940,94
40,-940,97
43,-943,93
43,-943,95
40,-941,97
40,-941,103
38,-937,108
41,-941,104
35,-934,115
37,-939,110
36,-938,114
37,-939,110
41,-940,105
39,-941,105
37,-941,104
40,-942,99
42,-944,93
43,-944,95
41,-944,95
42,-942,98
39,-942,102
39,-941,104
35,-938,110
37,-943,105
40,-942,107
39,-942,110
39,-943,107
37,-941,112
36,-942,113
32,-938,120
33,-940,121
32,-939,123
29,-932,132
31,-937,129
31,-938,128
31,-935,132
31,-939,130
30,-937,133
29,-936,140
26,-931,147
19,-932,145
30,-931,151
30,-933,147
27,-935,144
30,-939,139
28,-936,141
28,-936,138
28,-938,137
28,-936,139
28,-937,142
27,-937,143
27,-935,145
27,-936,143
27,-937,143
28,-937,143
27,-935,149
21,-931,152
30,-932,155
27,-935,149
26,-934,150
27,-936,146
27,-937,148
26,-934,151
25,-931,155
25,-934,153
26,-934,151
26,-932,152
26,-935,152
26,-937,149
26,-934,150
27,-933,152
25,-934,150
27,-938,145
26,-932,151
28,-936,147
26,-933,154
26,-934,152
27,-935,152
27,-935,152
24,-932,155
25,-935,155
25,-933,154
24,-932,156
25,-932,157
25,-933,157
24,-930,160
25,-933,155
22,-934,154
31,-936,151
27,-934,153
27,-936,151
25,-937,149
26,-934,153
26,-936,152
27,-934,156
26,-934,155
24,-933,156
23,-929,162
22,-931,161
24,-934,158
26,-933,157
24,-930,161
23,-928,163
24,-928,162
25,-932,153
25,-929,155
29,-938,138
30,-933,137
32,-938,128
27,-938,147
33,-931,149
36,-940,94
40,-947,95
53,-945,136
46,-932,97
47,-945,58
56,-938,156
50,-942,93
57,-926,127
36,-898,134
49,-918,72
115,-989,-29
61,-931,13
99,-983,-82
44,-928,-75
38,-931,-139
14,-921,-214
0,-919,-251
47,-932,-154
66,-945,-113
10,-902,-334
-11,-931,-189
20,-930,-186
43,-935,-160
0,-930,-200
15,-917,-266
28,-938,-160
66,-913,-260
98,-902,-269
-111,-946,-123
27,-887,-307
15,-866,-362
-8,-855,-385
72,-813,-489
17,-802,-505
24,-782,-545
24,-762,-575
22,-741,-598
22,-716,-630
23,-694,-648
23,-662,-697
21,-613,-753
71,-562,-799
120,-463,-852
68,-197,-894
-31,151,-628
-493,270,-196
311,-571,-869
22,-59,-955
-139,3,-1008
49,85,-1042
12,23,-997
16,20,-1008
19,18,-1002
31,8,-1003
14,29,-1007
10,31,-997
1,10,-1007
17,18,-1005
17,19,-1000
15,21,-1007
16,18,-1005
17,19,-999
17,19,-1004
18,19,-1006
289,-100,-1007
-90,79,-997
-77,40,-1004
-38,61,-1003
20,17,-1004
18,20,-1005
19,22,-1005
17,4,-996
16,6,-1002
67,-15,-1008
67,10,-1001
-27,24,-1004
-42,67,-1003
7,36,-1002
25,17,-1006
35,12,-1011
32,0,-1000
-8,0,-1001
-3,6,-1004
17,-6,-1005
17,-17,-1003
17,-8,-1015
17,-28,-1010
18,-83,-991
19,-125,-977
15,-115,-986
19,-93,-997
20,-97,-996
16,-94,-997
23,-135,-943
30,-60,-997
107,162,-971
-43,-44,-996
-36,-64,-967
23,33,-1009
15,20,-1003
18,21,-1003
16,20,-1004
15,21,-1004
15,20,-1002
17,20,-1003
17,20,-1003
18,22,-1005
15,21,-1002
18,20,-1004
18,21,-1003
15,21,-1004
15,21,-1005
16,22,-1003
15,21,-1002
15,22,-1005
16,20,-1003
15,21,-1004
17,20,-1004
15,19,-1003
16,20,-1004
15,20,-1003
15,23,-1004
17,21,-1004
17,23,-1004
15,23,-1003
16,21,-1005
15,21,-1002
15,22,-1003
15,22,-1004
16,22,-1003
16,24,-1003
16,24,-1003
15,25,-1001
15,22,-1005
16,23,-1004
16,24,-1002
16,24,-1004
16,24,-1003
17,23,-1004
16,24,-1005
16,24,-1003
18,23,-1004
17,23,-1004
15,22,-1004
15,22,-1004
15,23,-1005
16,24,-1003
16,22,-1002
17,23,-1004
15,25,-1005
16,24,-1003
15,23,-1003
16,22,-1003
16,23,-1002
14,23,-1004
16,22,-1004
17,23,-1002
16,24,-1004
17,22,-1004
16,23,-1003
17,24,-1003
16,23,-1003
16,22,-1003
16,24,-1003
15,21,-1004
15,21,-1004
16,22,-1005
16,23,-1004
16,24,-1004
16,21,-1004
16,23,-1002
16,23,-1004
16,23,-1005
15,23,-1002
14,21,-1002
16,23,-1004
16,23,-1003
16,22,-1003
17,23,-1005
16,22,-1004
17,23,-1003
16,23,-1004
16,22,-1004
15,22,-1003
15,25,-1005
16,23,-1003
16,24,-1004
16,22,-1008
16,24,-1005
17,-8,-1078
13,-20,-1147
1,28,-1099
-83,228,-737
-37,209,-877
16,137,-1017
41,128,-997
63,131,-997
121,105,-1004
6,143,-996
15,140,-1000
16,143,-994
-56,166,-988
19,140,-1001
44,134,-994
51,133,-998
16,137,-1021
17,147,-990
111,113,-1018
-33,166,-990
0,156,-996
-4,158,-1006
15,139,-1108
35,281,-1167
36,540,-1088
104,585,-1081
41,531,-999
-3,568,-892
40,573,-787
-2,485,-687
-9,476,-653
14,497,-743
-56,590,-745
-29,777,-613
84,1005,-413
48,933,-233
-146,808,-194
114,524,-116
374,815,69
170,1132,-505
-241,967,-391
-225,1001,-114
19,998,148
27,1026,33
18,1014,-33
20,1008,29
14,1009,21
18,1009,28
14,1012,10
23,1011,44
14,1012,13
25,1009,51
15,1009,21
13,1013,23
27,1009,47
20,1011,36
23,1009,39
21,1011,32
21,1009,33
19,1011,34
20,1010,34
22,1010,32
20,1009,33
20,1010,32
20,1011,34
21,1010,34
19,1010,29
20,1010,31
20,1010,29
17,1010,19
18,1010,25
20,1009,26
19,1009,27
20,1010,27
20,1010,30
19,1011,29
20,1011,30
20,1010,27
19,1010,27
18,1011,29
19,1011,29
19,1011,28
20,1010,28
20,1012,26
21,1009,29
20,1010,32
21,1011,33
20,1010,28
19,1010,28
20,1011,29
20,1011,26
20,1010,26
19,1010,31
21,1010,27
17,1012,-20
22,1008,63
19,1010,19
20,1010,33
19,1011,26
20,1010,25
19,1011,26
20,1010,26
18,1011,26
19,1010,26
20,1009,29
20,1011,31
20,1010,30
21,1010,29
21,1011,27
19,1010,29
17,1011,12
19,1008,43
19,1011,28
18,1010,22
19,1010,25
20,1010,29
19,1010,26
20,1011,25
18,1010,27
19,1011,23
20,1010,24
20,1010,29
20,1010,27
19,1010,27
20,1011,26
20,1009,24
19,1010,27
18,1010,27
19,1009,26
20,1010,26
19,1010,26
18,1010,27
20,1010,25
20,1011,27
20,1011,27
19,1010,26
19,1010,25
21,1011,27
19,1009,25
18,1011,25
19,1011,25
20,1011,27
19,1009,25
18,1010,24
19,1010,27
19,1010,27
19,1010,24
19,1010,26
19,1009,25
18,1010,24
20,1011,25
20,1010,24
19,1010,28
21,1011,30
19,1010,25
19,1009,26
18,1011,20
18,1010,24
20,1010,43
18,1011,22
20,1011,22
20,1010,22
20,1010,31
20,1010,28
20,1011,32
19,1010,24
19,1010,28
20,1011,23
19,1008,26
19,1010,25
20,1010,30
20,1011,25
19,1010,25
20,1010,29
19,1011,23
17,1010,21
19,1011,25
19,1010,26
21,1010,31
18,1010,24
20,1011,25
18,1010,22
20,1011,29
19,1010,27
20,1010,28
20,1011,28
20,1011,26
19,1010,27
20,1010,24
17,1010,24
20,1011,27
20,1009,25
17,1010,25
20,1011,28
20,1010,26
19,1010,23
20,1010,27
19,1010,24
18,1010,23
20,1010,25
19,1009,27
20,1010,24
17,1010,19
20,1011,34
20,1010,30
18,1010,28
20,1011,31
21,1009,32
20,1010,25
20,1011,26
20,1010,26
20,1010,26
20,1011,31
21,1010,31
19,1009,28
18,1011,19
21,1010,35
21,1010,38
21,1010,32
21,1009,33
21,1011,35
-25,1010,58
31,1011,54
11,1010,34
30,1010,36
36,1010,30
29,1015,14
32,1008,61
6,1010,-21
25,1012,56
22,1012,42
17,1007,29
17,1012,34
0,1004,-17
17,1010,25
17,1012,28
17,1011,25
8,1009,-16
12,1011,24
-1,1008,18
31,1015,6
17,1012,-3
8,1012,-51
2,1003,-35
19,1009,0
41,1030,67
38,1019,27
197,1083,62
373,918,166
79,981,14
-24,1026,3
-211,990,242
-39,995,342
-12,1002,114
-100,1029,57
4,1008,80
-10,1013,-26
25,1017,27
44,1026,113
51,1027,126
45,1025,102
-25,1030,58
-173,1063,-74
-56,1202,-41
-103,1254,-85
-148,1080,-16
-175,798,210
-144,968,151
-17,873,110
-114,858,48
-91,1007,16
-182,1121,-4
-318,1184,-121
-295,1226,-54
-314,1090,-28
-386,961,15
-413,859,46
-436,761,-15
-502,766,-5
-541,783,40
-518,741,9
-518,676,31
-656,607,1
-740,529,16
-686,603,-36
-497,539,-22
-653,581,56
-760,534,0
-797,482,104
-803,382,166
-834,291,-16
-891,212,33
-900,93,-34
-1008,226,-42
-1033,192,-81
-972,23,50
-1007,78,30
-1018,-181,-80
-944,-34,-63
-954,-91,-52
-950,28,-86
-951,15,-51
-952,16,-57
-953,16,-35
-958,57,-5
-953,125,-64
-953,58,-32
-957,-25,0
-955,-43,8
-956,-65,22
-955,19,2
-954,18,-30
-954,15,-21
-955,15,-26
-956,17,4
-954,17,-11
-954,17,-25
-954,17,-30
-956,16,-12
-953,18,-18
-954,110,-28
-954,101,-34
-955,69,-1
-954,20,0
-956,-63,12
-953,-18,14
-955,-53,8
-954,-21,-3
-954,29,-8
-952,18,8
-955,19,3
-955,19,4
-954,17,13
-954,19,13
-956,19,11
-953,18,11
-953,18,3
-955,18,9
-954,17,2
-954,18,0
-954,18,19
-954,20,15
-955,20,0
-955,19,0
-955,18,5
-955,18,1
-955,17,10
-954,19,12
-954,18,11
-953,18,20
-954,18,20
-953,19,19
-955,18,10
-954,18,16
-954,18,16
-955,18,20
-953,19,21
-954,19,12
-954,18,7
-953,19,16
-953,18,18
-953,19,16
-955,19,12
-954,19,11
-954,19,9
-955,19,14
-953,19,11
-955,17,8
-954,20,7
-953,19,6
-955,17,-3
-954,18,-10
-953,17,3
-955,19,23
-953,18,38
-956,18,25
-953,18,20
-954,18,0
-953,17,-14
-953,16,-10
-955,17,-8
-954,18,-10
-954,18,-1
-954,17,-7
-955,20,-5
-963,298,43
-940,-40,36
-943,-60,3
-957,-60,7
-950,-28,66
-953,18,34
-955,14,79
-949,21,85
-950,17,45
-954,16,0
-951,18,22
-949,172,-13
-963,14,-35
-951,115,-53
-951,94,-44
-951,65,-59
-950,-22,-55